2019-03-20 22:18:25,796 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:18:25,952 (apihelper.py:55 WorkerThread2) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":{"message_id":176,"from":{"id":798083745,"is_bot":true,"first_name":"PiBot","username":"MySuperPersonalPrivateTestBot"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553116705,"reply_to_message":{"message_id":175,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553116705,"text":"/help","entities":[{"offset":0,"length":5,"type":"bot_command"}]},"text":"This is the help section. I really don\'t know what you\'re looking for, since this is a test bot, dumbass."}}''"
2019-03-20 22:18:25,955 (util.py:60 WorkerThread2) DEBUG - TeleBot: "Task complete"
2019-03-20 22:18:45,871 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:18:45,872 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:18:45,873 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:18:45,875 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:18:45,875 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:19:05,947 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:19:05,948 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:19:05,949 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:19:05,950 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:19:05,951 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:19:26,016 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:19:26,017 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:19:26,018 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:19:26,020 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:19:26,020 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:19:46,089 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:19:46,090 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:19:46,091 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:19:46,092 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:19:46,093 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:20:06,159 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:20:06,160 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:20:06,177 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:20:06,179 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:20:06,180 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:20:26,245 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-20 22:20:26,246 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-20 22:20:26,247 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-20 22:20:26,249 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-20 22:20:26,250 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084385, 'timeout': 20} files=None"
2019-03-20 22:20:46,325 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
