2019-03-19 19:32:43,854 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:32:43,854 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:32:43,855 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084362, 'timeout': 20} files=None"
2019-03-19 19:33:03,900 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:33:03,901 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:33:03,901 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:33:03,902 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:33:03,902 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084362, 'timeout': 20} files=None"
2019-03-19 19:33:23,951 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:33:23,953 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:33:23,953 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:33:23,955 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:33:23,956 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084362, 'timeout': 20} files=None"
2019-03-19 19:33:25,392 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[{"update_id":819084362,\n"message":{"message_id":133,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553020405,"text":"test"}}]}''"
2019-03-19 19:33:25,394 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 1 new updates"
2019-03-19 19:33:25,396 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:33:25,396 (util.py:56 WorkerThread1) DEBUG - TeleBot: "Received task"
2019-03-19 19:33:25,398 (apihelper.py:45 WorkerThread1) DEBUG - TeleBot: "Request: method=post url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/sendMessage params={'chat_id': '478030647', 'text': 'test', 'reply_to_message_id': 133} files=None"
2019-03-19 19:33:25,407 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:33:25,413 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084363, 'timeout': 20} files=None"
2019-03-19 19:33:25,717 (apihelper.py:55 WorkerThread1) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":{"message_id":134,"from":{"id":798083745,"is_bot":true,"first_name":"PiBot","username":"MySuperPersonalPrivateTestBot"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553020405,"reply_to_message":{"message_id":133,"from":{"id":478030647,"is_bot":false,"first_name":"Caste","username":"EnricoCastelli","language_code":"en"},"chat":{"id":478030647,"first_name":"Caste","username":"EnricoCastelli","type":"private"},"date":1553020405,"text":"test"},"text":"test"}}''"
2019-03-19 19:33:25,718 (util.py:60 WorkerThread1) DEBUG - TeleBot: "Task complete"
2019-03-19 19:33:45,480 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:33:45,482 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:33:45,482 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:33:45,484 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:33:45,485 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084363, 'timeout': 20} files=None"
2019-03-19 19:34:05,545 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:34:05,546 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
2019-03-19 19:34:05,556 (util.py:60 PollingThread) DEBUG - TeleBot: "Task complete"
2019-03-19 19:34:05,558 (util.py:56 PollingThread) DEBUG - TeleBot: "Received task"
2019-03-19 19:34:05,559 (apihelper.py:45 PollingThread) DEBUG - TeleBot: "Request: method=get url=https://api.telegram.org/bot798083745:AAHqys98knTzCWp2_otxe4i9ex98HJx5JO4/getUpdates params={'offset': 819084363, 'timeout': 20} files=None"
2019-03-19 19:34:25,619 (apihelper.py:55 PollingThread) DEBUG - TeleBot: "The server returned: 'b'{"ok":true,"result":[]}''"
2019-03-19 19:34:25,620 (__init__.py:312 PollingThread) DEBUG - TeleBot: "Received 0 new updates"
